year,month,date,cpi
1913,Jan,1913-01-01,9.8
1913,Feb,1913-02-01,9.8
1913,Mar,1913-03-01,9.8
1913,Apr,1913-04-01,9.8
1913,May,1913-05-01,9.7
1913,June,1913-06-01,9.8
1913,July,1913-07-01,9.9
1913,Aug,1913-08-01,9.9
1913,Sep,1913-09-01,10.0
1913,Oct,1913-10-01,10.0
1913,Nov,1913-11-01,10.1
1913,Dec,1913-12-01,10.0
1914,Jan,1914-01-01,10.0
1914,Feb,1914-02-01,9.9
1914,Mar,1914-03-01,9.9
1914,Apr,1914-04-01,9.8
1914,May,1914-05-01,9.9
1914,June,1914-06-01,9.9
1914,July,1914-07-01,10.0
1914,Aug,1914-08-01,10.2
1914,Sep,1914-09-01,10.2
1914,Oct,1914-10-01,10.1
1914,Nov,1914-11-01,10.2
1914,Dec,1914-12-01,10.1
1915,Jan,1915-01-01,10.1
1915,Feb,1915-02-01,10.0
1915,Mar,1915-03-01,9.9
1915,Apr,1915-04-01,10.0
1915,May,1915-05-01,10.1
1915,June,1915-06-01,10.1
1915,July,1915-07-01,10.1
1915,Aug,1915-08-01,10.1
1915,Sep,1915-09-01,10.1
1915,Oct,1915-10-01,10.2
1915,Nov,1915-11-01,10.3
1915,Dec,1915-12-01,10.3
1916,Jan,1916-01-01,10.4
1916,Feb,1916-02-01,10.4
1916,Mar,1916-03-01,10.5
1916,Apr,1916-04-01,10.6
1916,May,1916-05-01,10.7
1916,June,1916-06-01,10.8
1916,July,1916-07-01,10.8
1916,Aug,1916-08-01,10.9
1916,Sep,1916-09-01,11.1
1916,Oct,1916-10-01,11.3
1916,Nov,1916-11-01,11.5
1916,Dec,1916-12-01,11.6
1917,Jan,1917-01-01,11.7
1917,Feb,1917-02-01,12.0
1917,Mar,1917-03-01,12.0
1917,Apr,1917-04-01,12.6
1917,May,1917-05-01,12.8
1917,June,1917-06-01,13.0
1917,July,1917-07-01,12.8
1917,Aug,1917-08-01,13.0
1917,Sep,1917-09-01,13.3
